0,1,2,3,1,1.414213562,2.236067978,3.16227766,2,2.236067978,2.828427125,3.605551275,3,3.16227766,3.605551275,4.242640687
1,0,1,2,1.414213562,1,1.414213562,2.236067978,2.236067978,2,2.236067978,2.828427125,3.16227766,3,3.16227766,3.605551275
2,1,0,1,2.236067978,1.414213562,1,1.414213562,2.828427125,2.236067978,2,2.236067978,3.605551275,3.16227766,3,3.16227766
3,2,1,0,3.16227766,2.236067978,1.414213562,1,3.605551275,2.828427125,2.236067978,2,4.242640687,3.605551275,3.16227766,3
1,1.414213562,2.236067978,3.16227766,0,1,2,3,1,1.414213562,2.236067978,3.16227766,2,2.236067978,2.828427125,3.605551275
1.414213562,1,1.414213562,2.236067978,1,0,1,2,1.414213562,1,1.414213562,2.236067978,2.236067978,2,2.236067978,2.828427125
2.236067978,1.414213562,1,1.414213562,2,1,0,1,2.236067978,1.414213562,1,1.414213562,2.828427125,2.236067978,2,2.236067978
3.16227766,2.236067978,1.414213562,1,3,2,1,0,3.16227766,2.236067978,1.414213562,1,3.605551275,2.828427125,2.236067978,2
2,2.236067978,2.828427125,3.605551275,1,1.414213562,2.236067978,3.16227766,0,1,2,3,1,1.414213562,2.236067978,3.16227766
2.236067978,2,2.236067978,2.828427125,1.414213562,1,1.414213562,2.236067978,1,0,1,2,1.414213562,1,1.414213562,2.236067978
2.828427125,2.236067978,2,2.236067978,2.236067978,1.414213562,1,1.414213562,2,1,0,1,2.236067978,1.414213562,1,1.414213562
3.605551275,2.828427125,2.236067978,2,3.16227766,2.236067978,1.414213562,1,3,2,1,0,3.16227766,2.236067978,1.414213562,1
3,3.16227766,3.605551275,4.242640687,2,2.236067978,2.828427125,3.605551275,1,1.414213562,2.236067978,3.16227766,0,1,2,3
3.16227766,3,3.16227766,3.605551275,2.236067978,2,2.236067978,2.828427125,1.414213562,1,1.414213562,2.236067978,1,0,1,2
3.605551275,3.16227766,3,3.16227766,2.828427125,2.236067978,2,2.236067978,2.236067978,1.414213562,1,1.414213562,2,1,0,1
4.242640687,3.605551275,3.16227766,3,3.605551275,2.828427125,2.236067978,2,3.16227766,2.236067978,1.414213562,1,3,2,1,0
